"kind","relative_path","file_name","extension","sha256","status","decision","exit_code","message"
"runtime","P0_DAILY_QUEUE_RUNNER\76737a6582c9_dailyQueueReader.js","76737a6582c9_dailyQueueReader.js",".js","76737a6582c93ba4330a8e0e8f4fcc4dc7380585cc265d8f2675c9e20c7c0620","PASS","PASS_NODE_CHECK","0","node --check pass"
"runtime","P0_DAILY_QUEUE_RUNNER\ab40b61eecaf_pythonProcessRunner.js","ab40b61eecaf_pythonProcessRunner.js",".js","ab40b61eecaf9731dd8708c5e3e4f090f79b68242901c445610b718f4e53aab0","PASS","PASS_NODE_CHECK","0","node --check pass"
"runtime","P0_GPT_BROWSER_BRIDGE\8aff7147a926_diagnostics.js","8aff7147a926_diagnostics.js",".js","8aff7147a926623668d25bae5c8f9081a5c7552c8dc0d64eea8b15ce8b20d89e","PASS","PASS_NODE_CHECK","0","node --check pass"
"runtime","P0_GPT_BROWSER_BRIDGE\d69be4e9afcc_buttonHandlers.js","d69be4e9afcc_buttonHandlers.js",".js","d69be4e9afcc5864af7e1b38529b98c57064a2aa96b23883dea32e112c03343b","PASS","PASS_NODE_CHECK","0","node --check pass"
"runtime","P0_GPT_BROWSER_BRIDGE\dde37d7fa1ec_stage1SelfCheck.js","dde37d7fa1ec_stage1SelfCheck.js",".js","dde37d7fa1ec956e4bee30d24e3eed1d968380eb905bd4ce4aec60f3ff41ebda","PASS","PASS_NODE_CHECK","0","node --check pass"
"runtime","P0_GPT_BROWSER_BRIDGE\e2e55ca1e08a_fileNameSafe.js","e2e55ca1e08a_fileNameSafe.js",".js","e2e55ca1e08a8b96c62d77348b66dccbf3c570cce9a0fa2a78452098609431f5","PASS","PASS_NODE_CHECK","0","node --check pass"
"runtime","P0_PC_AGENT_ROUTING_CORE\371b0480110f_B2_W12_PREFINAL_VALIDATOR.py","371b0480110f_B2_W12_PREFINAL_VALIDATOR.py",".py","371b0480110f4f5766202bdaabf2134617b5dcf1b03c3fa7a59501a14d033792","PASS","PASS_PY_COMPILE","0","python -m py_compile pass"
"runtime","P0_PC_AGENT_ROUTING_CORE\6ae1df3747b0_event_consumption_store.py","6ae1df3747b0_event_consumption_store.py",".py","6ae1df3747b0bf3611fc0bbf904be1ea2033bef415a33e4ec0f4a4cd99207a73","PASS","PASS_PY_COMPILE","0","python -m py_compile pass"
"runtime","P0_PC_AGENT_ROUTING_CORE\91f4d5cee4fb_resource_doctor.py","91f4d5cee4fb_resource_doctor.py",".py","91f4d5cee4fb08e34a2c75fbb3d41ff8a0b2a583dead63a511283a3b50b15d70","PASS","PASS_PY_COMPILE","0","python -m py_compile pass"
"ops","P0_GPT_BROWSER_BRIDGE\3d07ea5055b8_RUN_STAGE1_DIAGNOSTIC.bat","3d07ea5055b8_RUN_STAGE1_DIAGNOSTIC.bat",".bat","3d07ea5055b87df89b9039d0d3508b828b410b8002b143f201d83fc02c1df470","REFERENCE","OPS_REFERENCE_STATIC_VERIFY_DEFERRED","0","ops file preserved for later integration review"
"ops","P0_GPT_BROWSER_BRIDGE\cb4b65aaf72f_a4-hosted-windows-pc-agent-build-v4.yml","cb4b65aaf72f_a4-hosted-windows-pc-agent-build-v4.yml",".yml","cb4b65aaf72f33cb414bff7dc0d1f4788f5ccd2e47250bfdf318982dde3d064e","REFERENCE","OPS_REFERENCE_STATIC_VERIFY_DEFERRED","0","ops file preserved for later integration review"
